Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
nikki-lime-leather-sandals,Nikki Lime Leather Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Sandals,Mid-Heels,New Arrivals",TRUE,Color,Green,,,,,,,,100,deny,manual,265.00,265.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/5vl0dwakREcYWdzVGyhVxT/2f1bb7a0ae042011a1ffff3d8f1aff59/miista-nikki-lime-mules-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,265.00,265.00,265.00,active
karolina-scotland-road-white-leather-mules,Karolina Scotland Road White Leather Mules,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Mules,Mid-Heels,New Arrivals",TRUE,Color,White,,,,,,,,100,deny,manual,265.00,265.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/7GnX1jOx04Ub383nbCFlw/6bddc627eda7598ebfbdce7aa84ee7a1/miista-karolina-scotland-white-mules-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,265.00,265.00,265.00,active
erica-chenywood-woven-leather-mules,Erica Chenywood Woven Leather Mules,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Mules,Flats,New Arrivals",TRUE,Color,Brown,,,,,,,,100,deny,manual,240.00,240.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/R88POwT8EBbw0ID9QtOBi/4aaa47790b17c0376455c39240333606/miista-erica-chennywood-mules-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,240.00,240.00,240.00,active
ellie-crab-leather-sandals,Ellie Crab Leather Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Sandals,Mid-Heels,New Arrivals",TRUE,Color,White,,,,,,,,100,deny,manual,265.00,265.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/7v3y4KEAYYmc04i7TaeSFI/800dab11143f940768ae41c69e1079a4/miista-ellie-crab-mules-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,265.00,265.00,265.00,active
dallis-parchment-woven-leather-boots,Dallis Parchment Woven Leather Boots,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Tall Boots,Mid-Heels,New Arrivals",TRUE,Color,White,,,,,,,,100,deny,manual,520.00,520.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/72Q1P8JTVZ537wm3L2lKBz/d860b39eee4e178e66913263a433f993/miista-dallis-parchment-boots-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,520.00,520.00,520.00,active
bondi-sand-woven-leather-boots,Bondi Sand Woven Leather Boots,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Boots,Mid-Heels,New Arrivals",TRUE,Color,Brown,,,,,,,,100,deny,manual,460.00,460.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/5p5kvFhrkTgycgOsuhZQRm/c392effe44e2ba963b0689a6bb062095/miista-bondi-sand-boots-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,460.00,460.00,460.00,active
araxie-coffee-woven-leather-mules,Araxie Coffee Woven Leather Mules,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Mules,Mid-Heels,New Arrivals,Flats",TRUE,Color,Brown,,,,,,,,100,deny,manual,260.00,260.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/4vN8a0dd8Kkqri29rzvhmx/31038c0c1cc5ee5b17dfd2e77d87bcbc/miista-araxie-coffee-mules-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,260.00,260.00,260.00,active
driska-off-white-woven-leather-sneakers,Driska Off White Woven Leather Sneakers,,Shoes factory,Apparel & Accessories > Clothing,Shoes,Outlet,TRUE,Color,Not set,,,,,,,,100,deny,manual,285.00,285.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/lnmjm6vJIHnjTO9mZJGDp/88182bb360890522362c4dd3588b0cc5/miista-driska-off-white-sneakers-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,285.00,285.00,285.00,active
nikki-apricot-leather-sandals,Nikki Apricot Leather Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,,TRUE,Color,Orange,,,,,,,,100,deny,manual,265.00,265.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/4NB304J9gOfBj0Lma8qfQX/9b95b29f71a485f444791a84b73f1da5/miista-nikki-apricot-mules-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,265.00,265.00,265.00,active
nikki-black-leather-sandals,Nikki Black Leather Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Sandals,Mid-Heels,New Arrivals",TRUE,Color,Black,,,,,,,,100,deny,manual,265.00,265.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/5tNSSDkPtvXpQPOR8R21WL/bb70de26225fd52d81467f49888f76d8/miista-nikki-black-mules-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,265.00,265.00,265.00,active
nikki-sand-leather-sandals,Nikki Sand Leather Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,,TRUE,Color,Natural,,,,,,,,100,deny,manual,265.00,265.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/Ph9x6aEsnrMCDeuovw04r/fea5eded4b162c8720e825af45451d2e/miista-nikki-sand-mules-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,265.00,265.00,265.00,active
loirane-sunshine-woven-leather-heels,Loirane Sunshine Woven Leather Heels,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Court Shoes,Mid-Heels,New Arrivals",TRUE,Color,Yellow,,,,,,,,100,deny,manual,260.00,260.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/VBaKKbGcgKzFW7qRiVOJj/a3ee4fe5cfc88f7840b9d40b79cdc96a/miista-loraine-sunshine-mid-heels-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,260.00,260.00,260.00,active
kelly-black-leather-boots,Kelly Black Leather Boots,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Ankle Boots,Mid-Heels,New Arrivals",TRUE,Color,Black,,,,,,,,100,deny,manual,345.00,345.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/kRgdlhGZETRGWxiq8fLu6/79944a89bf9cd2d8e70aa8692186dffc/miista-kelly-black-boots-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,345.00,345.00,345.00,active
kelly-sand-leather-boots,Kelly Sand Leather Boots,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Ankle Boots,Mid-Heels,New Arrivals",TRUE,Color,Natural,,,,,,,,100,deny,manual,345.00,345.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/qgHzr74aWtT1HFOembf1D/bacfdb2a781a1f57979778191083d37c/miista-kelly-sand-boots-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,345.00,345.00,345.00,active
ellie-olive-leather-sandals,Ellie Olive Leather Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Sandals,Mid-Heels,New Arrivals",TRUE,Color,Green,,,,,,,,100,deny,manual,265.00,265.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/4YJYlN6TuqV8Fi5TdWNLh/90a9a97167b82d7893f978e68415f326/miista-ellie-olive-mules-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,265.00,265.00,265.00,active
bondi-off-white-woven-leather-boots,Bondi Off White Woven Leather Boots,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Boots,Mid-Heels,New Arrivals",TRUE,Color,White,,,,,,,,100,deny,manual,460.00,460.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/47HgxUd0UFcgxIU76phwGA/ae9b9dd95d542360d7afc68532bf1b0c/miista-bondi-off-white-boots-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,460.00,460.00,460.00,active
ellie-ocean-leather-sandals,Ellie Ocean Leather Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Sandals,Mid-Heels,New Arrivals",TRUE,Color,Blue,,,,,,,,100,deny,manual,265.00,265.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/jTm8OvzlnpPsmglIfs6cF/0fbd2e8955ef51ca4676efff7a7616e5/miista-ellie-ocean-mules-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,265.00,265.00,265.00,active
caterina-black-stretch-patent-leather-sandals,Caterina Black Stretch Patent Leather Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Sandals,Mid-Heels,New Arrivals",TRUE,Color,Black,,,,,,,,100,deny,manual,200.00,200.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/6MYkL1USj3BYvuPW6XrUXW/644644ce84426635aaf87f34e0edff34/miista-caterina-black-stretch-patenet-mules-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,200.00,200.00,200.00,active
